frameNum,rotation,translation,imu angular velocity,imu linear velocity,groundtruth
1,"[[[[-0.49504726  0.20214531 -0.84502395], [ 0.85806583  0.26661135 -0.43890934], [ 0.13656951 -0.94236705 -0.30543921]]]]","[[[[ 0.94484533], [ 0.29320384], [-0.14594115]]]]","[-0.0202458193231, -0.155683369278, -0.0425860337487]","[9.635033625, -0.457643666667, -4.17599845833]","[0.00670279222049, 0.00825104520496, 0.195952808828]"
2,"[[[[ 0.94736268  0.30050282  0.11046273], [-0.28770856  0.95041648 -0.11803519], [-0.1404555   0.08004106  0.98684633]]]]","[[[[ 0.43163002], [ 0.35436796], [-0.82952931]]]]","[0.0237364778271, -0.199665666428, 0.0998328332141]","[11.988629625, -0.400438208333, -5.67968479167]","[-0.000633654497079, 0.00875380517998, 0.118930312388]"
3,"[[[[ 0.40054553  0.51658416  0.75677214], [ 0.47404658 -0.8236273   0.3113164 ], [ 0.78411932  0.23404885 -0.5747852 ]]]]","[[[[-0.2413245], [-0.39967482], [ 0.88432038]]]]","[-0.168249739892, 0.290422787532, -0.0698131700798]","[9.97009416667, -0.34323275, -4.61729770833]","[0.000989629014905, 0.001738918012, 0.00921708163833]"
4,"[[[[-0.3229591  -0.86017083 -0.39471959], [-0.93329076  0.22024861  0.28365279], [-0.15705342  0.4599964  -0.87392078]]]]","[[[[-0.07262708], [-0.40109943], [ 0.91315089]]]]","[0.0188495559215, 0.278554548618, 0.0544542726622]","[8.32748029167, 0.694637708333, -3.31791658333]","[0.000355974517825, 0.010492723192, 0.128147394027]"
5,"[[[[-0.09538259  0.34707303 -0.93297506], [ 0.20477466 -0.91036158 -0.35959578], [-0.97415065 -0.22534883  0.01576089]]]]","[[[[ 0.99870099], [-0.04626508], [ 0.02135117]]]]","[-0.0230383461263, 0.309272343453, 0.0572467994654]","[6.23539495833, -0.53936575, -2.02670766667]","[0.0167118809278, 2.77832277331e-05, -0.371079945842]"
6,"[[[[-0.40245197  0.91017644 -0.09803701], [-0.91405404 -0.39363812  0.09774584], [ 0.05037486  0.12894913  0.99037089]]]]","[[[[ 0.59567548], [ 0.18510389], [-0.78160558]]]]","[-0.0237364778271, -0.244346095279, 0.163362817987]","[7.24874879167, -0.171616375, -2.30456275]","[-0.00912448897945, -0.000797559390875, -0.0655108554447]"
7,"[[[[ 0.48138968 -0.82295804  0.30166875], [-0.8384835  -0.53264386 -0.11504752], [ 0.25536129 -0.19756158 -0.946446  ]]]]","[[[[-0.48711173], [-0.24910701], [ 0.83705905]]]]","[0.15777776438, -0.065624379875, 0.143116998664]","[8.850501625, -0.187960791667, -3.260711125]","[0.00758739194839, -0.000769776163142, -0.436590801287]"
8,"[[[[ 0.98437087  0.14451588  0.1006437 ], [-0.1406646   0.98906108 -0.04440318], [-0.10595973  0.02955219  0.99393119]]]]","[[[[-0.30714867], [-0.34185175], [ 0.88814249]]]]","[-0.0195476876223, -0.321838714068, 0.106116018521]","[11.13054775, -0.359577166667, -4.15148183333]","[-0.010763637529, -0.00646985009098, 0.24777556387]"
9,"[[[[ 0.6877183  -0.69319566 -0.21569264], [-0.58657486 -0.35551245 -0.72769556], [ 0.42775399  0.62696943 -0.65110357]]]]","[[[[ 0.16372732], [ 0.21082681], [ 0.96371439]]]]","[0.0523598775598, 0.00349065850399, 0.0872664625997]","[12.1193849583, -0.269682875, -5.60613491667]","[0.0036935685519, 0.00439144913154, 0.148879636854]"
10,"[[[[ 0.37978365 -0.73257952 -0.56488196], [ 0.34825186 -0.4524896   0.82095907], [-0.85702102 -0.50850803  0.08327403]]]]","[[[[-0.13191728], [-0.41298592], [ 0.90113288]]]]","[-0.0844739357965, 0.208043246838, 0.0670206432766]","[9.00577358333, 0.204305208333, -3.81642129167]","[-0.00168728605551, 0.00207953857114, 0.0052087542999]"
11,"[[[[ 0.55807755  0.71724353 -0.4172663 ], [ 0.73834918 -0.65870394 -0.14473979], [-0.37866863 -0.2273122  -0.89718406]]]]","[[[[ 0.44538341], [-0.39292247], [ 0.80451572]]]]","[-0.164060949687, 0.232477856366, 0.178023583703]","[9.586000375, 0.367749375, -3.309744375]","[0.00200628249639, 0.00647098770268, 0.154088391154]"
12,"[[[[-0.29957212 -0.92828665 -0.22031896], [-0.85344966  0.15750993  0.49680409], [-0.42647418  0.33685979 -0.83943151]]]]","[[[[-0.13152075], [-0.32401718], [ 0.93686453]]]]","[0.0, 0.23596851487, 0.0125663706144]","[6.22722275, -0.204305208333, -1.77336920833]","[0.0115140631556, -0.00516174682916, -0.347850655366]"
13,"[[[[-0.30189238  0.85532404  0.42104844], [-0.94986981 -0.23220673 -0.20934991], [-0.08129173 -0.46314234  0.88254792]]]]","[[[[ 0.10115107], [ 0.32039584], [-0.94186781]]]]","[0.0921533845053, -0.0795870138909, 0.138928208459]","[7.24057658333, 0.433127041667, -1.95315779167]","[-0.0092858538809, -0.00426690565626, -0.0854852235678]"
14,"[[[[ 0.24775838  0.96813404 -0.03650016], [ 0.68883365 -0.14953892  0.70932807], [ 0.68126646 -0.20088451 -0.70393283]]]]","[[[[ 0.39570715], [-0.35342638], [ 0.84764712]]]]","[0.0453785605519, -0.165457213089, 0.0712094334814]","[9.35717854167, -0.318716125, -2.525212375]","[0.00222820927467, -0.00942865248542, -0.433335878934]"
15,"[[[[ 0.71824427  0.59513623  0.36046919], [-0.57623404  0.79914578 -0.17123187], [-0.38997372 -0.08472831  0.91691963]]]]","[[[[ 0.08553332], [ 0.30330312], [-0.94904756]]]]","[-0.00418879020479, -0.368613538021, 0.12217304764]","[10.3133269167, -0.14709975, -4.13513741667]","[-0.0092858538809, -0.00426690565626, -0.0854852235678]"
16,"[[[[ 0.93924738 -0.07265701 -0.33546285], [ 0.01527074 -0.96752602  0.25230974], [-0.34290111 -0.24210403 -0.90763675]]]]","[[[[-0.21147004], [-0.4010271], [ 0.89132356]]]]","[0.142418866963, 0.0153588974176, 0.0230383461263]","[11.547330375, 0.138927541667, -4.927841625]","[0.000823023536676, -0.00896293364375, 0.420801961172]"
17,"[[[[-0.16739978  0.98107865 -0.09727277], [-0.6578783  -0.18464502 -0.73013859], [-0.73428431 -0.05823139  0.6763399 ]]]]","[[[[-0.46633124], [-0.37451105], [ 0.80142164]]]]","[-0.0363028484415, 0.108908545324, 0.0949459113085]","[9.978266375, -0.0163444166667, -4.38030366667]","[-0.00396182591093, 0.00467750594994, 0.0271828399791]"
18,"[[[[ 0.749083    0.65580177  0.09380141], [-0.61107958  0.73868787 -0.28446788], [-0.2558445   0.15576993  0.95408559]]]]","[[[[ 0.43020442], [ 0.35284442], [-0.83091815]]]]","[-0.0830776723949, 0.293215314335, 0.0453785605519]","[9.25911204167, 0.277855083333, -3.86545454167]","[-0.00313880237426, -0.00428542769381, 0.447984801151]"
19,"[[[[ 0.05551587  0.79012505  0.6104264 ], [ 0.46762629 -0.5607471   0.68329229], [ 0.88218118  0.24751786 -0.40061361]]]]","[[[[-0.20144602], [-0.31879338], [ 0.92616968]]]]","[-0.13962634016, 0.416784625376, 0.111701072128]","[8.360169125, 0.359577166667, -3.12995579167]","[-0.00396182591093, 0.00467750594994, 0.0271828399791]"
